old_player_names,new_player_names,Team_short,Team,Player_type
YS Chahal,Yuzvendra Chahal,PBKS,Punjab Kings,BOWL
Yudhvir Singh,Yudhvir Singh,RR,Rajasthan Royals,AR
YBK Jaiswal,Yashasvi Jaiswal,RR,Rajasthan Royals,AR
Yash Thakur,Yash Thakur,PBKS,Punjab Kings,BOWL
Yash Dayal,Yash Dayal,RCB,Royal Challengers Bengaluru,BOWL
WG Jacks,Will Jacks,MI,Mumbai Indians,AR
Washington Sundar,Washington Sundar,GT,Gujarat Titans,AR
Vishnu Vinod,Vishnu Vinod,PBKS,Punjab Kings,BAT
V Kohli,Virat Kohli,RCB,Royal Challengers Bengaluru,BAT
Vijaykumar Vyshak,Vijaykumar Vyshak,PBKS,Punjab Kings,BOWL
V Shankar,Vijay Shankar,CSK,Chennai Super Kings,AR
VG Arora,Vaibhav Arora,KKR,Kolkata Knight Riders,BOWL
Umran Malik,Umran Malik,KKR,Kolkata Knight Riders,BOWL
TU Deshpande,Tushar Deshpande,RR,Rajasthan Royals,BOWL
T Stubbs,Tristan Stubbs,DC,Delhi Capitals,BAT
TA Boult,Trent Boult,MI,Mumbai Indians,BOWL
TM Head,Travis Head,SRH,Sunrisers Hyderabad,BAT
TH David,Tim David,RCB,Royal Challengers Bengaluru,AR
Tilak Varma,Tilak Varma,MI,Mumbai Indians,AR
T Natarajan,T Natarajan,DC,Delhi Capitals,BOWL
Swapnil Singh,Swapnil Singh,RCB,Royal Challengers Bengaluru,AR
Suyash Sharma,Suyash Sharma,RCB,Royal Challengers Bengaluru,BOWL
SA Yadav,Suryakumar Yadav,MI,Mumbai Indians,BAT
SP Narine,Sunil Narine,KKR,Kolkata Knight Riders,BOWL
SH Johnson,Spencer Johnson,KKR,Kolkata Knight Riders,BOWL
Simarjeet Singh,Simarjeet Singh,SRH,Sunrisers Hyderabad,BOWL
Shubman Gill,Shubman Gill,GT,Gujarat Titans,BAT
SB Dubey,Shubham Dubey,RR,Rajasthan Royals,BAT
SS Iyer,Shreyas Iyer,PBKS,Punjab Kings,BAT
S Gopal,Shreyas Gopal,CSK,Chennai Super Kings,BOWL
S Dube,Shivam Dube,CSK,Chennai Super Kings,AR
SO Hetmyer,Shimron Hetmyer,RR,Rajasthan Royals,BAT
SE Rutherford,Sherfane Rutherford,GT,Gujarat Titans,BAT
Shashank Singh,Shashank Singh,PBKS,Punjab Kings,AR
S Joseph,Shamar Joseph,LSG,Lucknow Super Giants,BOWL
SK Rasheed,Shaik Rasheed,CSK,Chennai Super Kings,BAT
Shahbaz Ahmed,Shahbaz Ahmed,LSG,Lucknow Super Giants,AR
SV Samson,Sanju Samson,RR,Rajasthan Royals,BAT
Sandeep Sharma,Sandeep Sharma,RR,Rajasthan Royals,BOWL
Sameer Rizvi,Sameer Rizvi,DC,Delhi Capitals,AR
SM Curran,Sam Curran,CSK,Chennai Super Kings,AR
B Sai Sudharsan,Sai Sudharsan,GT,Gujarat Titans,AR
R Sai Kishore,Sai Kishore,GT,Gujarat Titans,AR
